timestamp_utc,market_slug,side,price,size,total_usd
2026-03-14 13:11:19 UTC,eth-updown-5m-1773493800,BUY,0.49,9.367345,4.59
2026-03-14 13:11:19 UTC,eth-updown-5m-1773493800,BUY,0.49,6.97959,3.42
2026-03-14 13:11:19 UTC,eth-updown-5m-1773493800,BUY,0.54,7.277776,3.93
2026-03-14 13:11:19 UTC,eth-updown-5m-1773493800,BUY,0.49,5.591835,2.74
2026-03-14 13:11:17 UTC,eth-updown-5m-1773493800,BUY,0.470577,34.638332,16.3
2026-03-14 13:11:17 UTC,eth-updown-5m-1773493800,BUY,0.48,5.875,2.82
2026-03-14 13:10:55 UTC,eth-updown-5m-1773493800,BUY,0.43,3.97,1.7071
2026-03-14 13:10:53 UTC,eth-updown-5m-1773493800,BUY,0.42,7.380951,3.1
2026-03-14 13:10:53 UTC,eth-updown-5m-1773493800,BUY,0.4,16.0,6.4
2026-03-14 13:08:27 UTC,eth-updown-5m-1773493500,BUY,0.505598,30.37,15.355
2026-03-14 13:08:23 UTC,eth-updown-5m-1773493500,BUY,0.46,6.0,2.76
2026-03-14 13:07:51 UTC,eth-updown-5m-1773493500,BUY,0.701983,6.424655,4.51
2026-03-14 13:07:51 UTC,eth-updown-5m-1773493500,BUY,0.73,7.205477,5.26
2026-03-14 13:07:07 UTC,eth-updown-5m-1773493500,BUY,0.68,8.911762,6.06
2026-03-14 13:07:07 UTC,eth-updown-5m-1773493500,BUY,0.68,7.808821,5.31
2026-03-14 13:07:07 UTC,eth-updown-5m-1773493500,BUY,0.63,8.523808,5.37
2026-03-14 13:07:07 UTC,eth-updown-5m-1773493500,BUY,0.6,5.283332,3.17
2026-03-14 13:06:49 UTC,eth-updown-5m-1773493500,BUY,0.46,5.413042,2.49
2026-03-14 13:06:49 UTC,eth-updown-5m-1773493500,BUY,0.55,8.090908,4.45
2026-03-14 13:06:49 UTC,eth-updown-5m-1773493500,BUY,0.54,7.85185,4.24
2026-03-14 13:06:49 UTC,eth-updown-5m-1773493500,BUY,0.53,8.92,4.7276
2026-03-14 13:06:49 UTC,eth-updown-5m-1773493500,BUY,0.47,10.0,4.7
2026-03-14 13:06:47 UTC,eth-updown-5m-1773493500,BUY,0.46,6.869564,3.16
2026-03-14 13:06:37 UTC,eth-updown-5m-1773493500,BUY,0.35,3.68,1.288
2026-03-14 13:06:37 UTC,eth-updown-5m-1773493500,BUY,0.45,2.37,1.0665
2026-03-14 13:06:37 UTC,eth-updown-5m-1773493500,BUY,0.37,5.0,1.85
2026-03-14 13:06:37 UTC,eth-updown-5m-1773493500,BUY,0.35,5.02857,1.76
2026-03-14 13:06:37 UTC,eth-updown-5m-1773493500,BUY,0.35,6.285713,2.2
2026-03-14 13:06:37 UTC,eth-updown-5m-1773493500,BUY,0.46,6.391303,2.94
2026-03-14 13:06:37 UTC,eth-updown-5m-1773493500,BUY,0.42,8.5,3.57
2026-03-14 13:06:11 UTC,eth-updown-5m-1773493500,BUY,0.69,14.85507,10.25
2026-03-14 13:06:11 UTC,eth-updown-5m-1773493500,BUY,0.63,2.79,1.7577
2026-03-14 13:06:11 UTC,eth-updown-5m-1773493500,BUY,0.63,16.809521,10.59
2026-03-14 13:04:03 UTC,eth-updown-5m-1773493200,BUY,0.96,25.0104,24.01
2026-03-14 13:04:01 UTC,eth-updown-5m-1773493200,BUY,0.95,32.96842,31.32
2026-03-14 13:04:01 UTC,eth-updown-5m-1773493200,BUY,0.95,15.49,14.7155
2026-03-14 13:03:41 UTC,eth-updown-5m-1773493200,BUY,0.88,19.93,17.5384
2026-03-14 13:02:29 UTC,eth-updown-5m-1773493200,BUY,0.24,5.708332,1.37
2026-03-14 13:02:29 UTC,eth-updown-5m-1773493200,BUY,0.27766,11.344826,3.15
2026-03-14 13:02:29 UTC,eth-updown-5m-1773493200,BUY,0.26,10.384614,2.7
2026-03-14 13:02:27 UTC,eth-updown-5m-1773493200,BUY,0.27,6.296295,1.7
2026-03-14 13:02:27 UTC,eth-updown-5m-1773493200,BUY,0.24,7.625,1.83
2026-03-14 13:02:19 UTC,eth-updown-5m-1773493200,BUY,0.18,6.388887,1.15
2026-03-14 13:02:17 UTC,eth-updown-5m-1773493200,BUY,0.15,8.533332,1.28
2026-03-14 13:02:17 UTC,eth-updown-5m-1773493200,BUY,0.15,16.533332,2.48
2026-03-14 13:02:17 UTC,eth-updown-5m-1773493200,BUY,0.15,16.6,2.49
2026-03-14 13:02:15 UTC,eth-updown-5m-1773493200,BUY,0.15,11.666665,1.75
2026-03-14 13:02:11 UTC,eth-updown-5m-1773493200,BUY,0.11,26.181817,2.88
2026-03-14 13:01:21 UTC,eth-updown-5m-1773493200,BUY,0.75,7.893332,5.92
2026-03-14 13:01:21 UTC,eth-updown-5m-1773493200,BUY,0.76,2.37,1.8012
2026-03-14 13:01:21 UTC,eth-updown-5m-1773493200,BUY,0.75,7.146664,5.36
2026-03-14 13:00:33 UTC,eth-updown-5m-1773493200,BUY,0.79,9.97468,7.88
2026-03-14 13:00:33 UTC,eth-updown-5m-1773493200,BUY,0.76,5.828945,4.43
2026-03-14 13:00:29 UTC,eth-updown-5m-1773493200,BUY,0.75,5.546664,4.16
2026-03-14 13:00:29 UTC,eth-updown-5m-1773493200,BUY,0.75,6.253332,4.69
2026-03-14 13:00:23 UTC,eth-updown-5m-1773493200,BUY,0.69,3.84,2.6496
2026-03-14 13:00:23 UTC,eth-updown-5m-1773493200,BUY,0.68,5.779409,3.93
2026-03-14 12:58:09 UTC,eth-updown-5m-1773492900,BUY,0.86,0.98,0.8428
2026-03-14 12:58:03 UTC,eth-updown-5m-1773492900,BUY,0.85,6.96,5.916
2026-03-14 12:55:29 UTC,eth-updown-5m-1773492900,BUY,0.54,5.722221,3.09
2026-03-14 12:55:29 UTC,eth-updown-5m-1773492900,BUY,0.5,40.0,20.0
2026-03-14 12:55:29 UTC,eth-updown-5m-1773492900,BUY,0.54,9.925923,5.36
2026-03-14 12:55:25 UTC,eth-updown-5m-1773492900,BUY,0.46,10.0,4.6
2026-03-14 12:55:25 UTC,eth-updown-5m-1773492900,BUY,0.48,5.333332,2.56
2026-03-14 12:55:25 UTC,eth-updown-5m-1773492900,BUY,0.48,5.9375,2.85
2026-03-14 12:55:19 UTC,eth-updown-5m-1773492900,BUY,0.4,8.2,3.28
2026-03-14 12:53:29 UTC,eth-updown-5m-1773492600,BUY,0.89,8.235954,7.33
2026-03-14 12:53:15 UTC,eth-updown-5m-1773492600,BUY,0.81,7.086415,5.74
2026-03-14 12:53:15 UTC,eth-updown-5m-1773492600,BUY,0.78,2.18,1.7004
